2020-01-14 12:58:10.259286
################ BitsOJ  ################
Contest: BitsOJ  - Test 1
Contest Teams:
	Team		   Password		 Type
	team00192		bits192		CLIENT
	team00193		bits193		CLIENT
	team00194		bits194		CLIENT
	team00195		bits195		CLIENT
	team00196		bits196		CLIENT
	team00197		bits197		CLIENT
	team00198		bits198		CLIENT
	team00199		bits199		CLIENT
	team00200		bits200		CLIENT
	team00201		bits201		CLIENT
	team00202		bits202		CLIENT
	team00203		bits203		CLIENT
	team00204		bits204		CLIENT
	team00205		bits205		CLIENT
	team00206		bits206		CLIENT
	team00207		bits207		CLIENT
	team00208		bits208		CLIENT
	team00209		bits209		CLIENT
	team00210		bits210		CLIENT
	team00211		bits211		CLIENT
	team00212		bits212		CLIENT
	team00213		bits213		CLIENT
	team00214		bits214		CLIENT
	team00215		bits215		CLIENT
	team00216		bits216		CLIENT
	team00217		bits217		CLIENT
	team00218		bits218		CLIENT
	team00219		bits219		CLIENT
	team00220		bits220		CLIENT
	team00221		bits221		CLIENT
	team00222		bits222		CLIENT
	team00223		bits223		CLIENT
	team00224		bits224		CLIENT
	team00225		bits225		CLIENT
	team00226		bits226		CLIENT
	team00227		bits227		CLIENT
	team00228		bits228		CLIENT
	team00229		bits229		CLIENT
	team00230		bits230		CLIENT
	team00231		bits231		CLIENT
	team00232		bits232		CLIENT
	team00233		bits233		CLIENT
	team00234		bits234		CLIENT
	team00235		bits235		CLIENT
	team00236		bits236		CLIENT
	team00237		bits237		CLIENT
	team00238		bits238		CLIENT
	team00239		bits239		CLIENT
	team00240		bits240		CLIENT
	team00241		bits241		CLIENT
	team00242		bits242		CLIENT
	team00243		bits243		CLIENT
	team00244		bits244		CLIENT
	team00245		bits245		CLIENT
	team00246		bits246		CLIENT
	team00247		bits247		CLIENT
	team00248		bits248		CLIENT
	team00249		bits249		CLIENT
	team00250		bits250		CLIENT
	team00251		bits251		CLIENT
	team00252		bits252		CLIENT
	team00253		bits253		CLIENT
	team00254		bits254		CLIENT
	team00255		bits255		CLIENT
	team00256		bits256		CLIENT
	team00257		bits257		CLIENT
	team00258		bits258		CLIENT
	team00259		bits259		CLIENT
	team00260		bits260		CLIENT
	team00261		bits261		CLIENT
	team00262		bits262		CLIENT
	team00263		bits263		CLIENT
	team00264		bits264		CLIENT
	team00265		bits265		CLIENT
	team00266		bits266		CLIENT
	team00267		bits267		CLIENT
	team00268		bits268		CLIENT
	team00269		bits269		CLIENT
	team00270		bits270		CLIENT
	team00271		bits271		CLIENT
	team00272		bits272		CLIENT
	team00273		bits273		CLIENT
	team00274		bits274		CLIENT
	team00275		bits275		CLIENT
	team00276		bits276		CLIENT
	team00277		bits277		CLIENT
	team00278		bits278		CLIENT
	team00279		bits279		CLIENT
	team00280		bits280		CLIENT
	team00281		bits281		CLIENT
	team00282		bits282		CLIENT
	team00283		bits283		CLIENT
	team00284		bits284		CLIENT
	team00285		bits285		CLIENT
	team00286		bits286		CLIENT
	team00287		bits287		CLIENT
	team00288		bits288		CLIENT
	team00289		bits289		CLIENT
	team00290		bits290		CLIENT
	team00291		bits291		CLIENT
	team00292		bits292		CLIENT
	team00293		bits293		CLIENT
	team00294		bits294		CLIENT
	team00295		bits295		CLIENT
	team00296		bits296		CLIENT
	team00297		bits297		CLIENT
	team00298		bits298		CLIENT
	team00299		bits299		CLIENT
	team00300		bits300		CLIENT

################################################
